year;state;medicaid_federal;medicaid_total;all_spending_federal;all_spending_total;medicaid_state;all_spending_state
2012;Tennessee;6007;9333;12806;30419;3326;17613
2012;Texas;16987;29327;32324;93067;12340;60743
2012;Utah;1356;2065;3588;11822;709;8234
2012;Vermont;716;1267;1831;5017;551;3186
2012;Virginia;3464.6;7033.4;9212.3;43373;3568.8;34160.7
2012;Washington;2162;4224;8049;33175;2062;25126
2012;West Virginia;1978;2764;4064;21897;786;17833
2012;Wisconsin;4069.5;6820.7;10571.6;41323.4;2751.2;30751.8
2012;Wyoming;294;572;1547;5750;278;4203
2013;Alabama;3820;5586;9488;24535;1766;15047
2013;Alaska;817;1388;2589;12022;571;9433
2013;Arizona;5756.362387;8431.514187;12008;27560.298;2675.1518;15552.298
2013;Arkansas;3180.4;4511.8;6068;21447.2;1331.4;15379.2
2013;California;25715;46399;70431;211432;20684;141001
2013;Colorado;2805;6385;7423;30111;3580;22688
2013;Connecticut;0;6202;2595;27768.87;6202;25173.87
2013;Delaware;870;1577;1783;9162;707;7379
2013;Florida;11823;20333;24160;63971;8510;39811
2013;Georgia;5914;9032;13046;42443.8;3118;29397.8
2013;Hawaii;877;1673;1912;11584;796;9672
2013;Idaho;1241;1876;2647;6690;635;4043
2013;Illinois;7464;15372.76206647;12918.060817;58172.04402147;7908.76206647;45253.98320447
2013;Indiana;5950;8789;10357;28171;2839;17814
2013;Iowa;2140;3876;5727;19531;1736;13804
2013;Kansas;1425;2583;3890;13969;1158;10079
2013;Kentucky;3923;5626;8001;25673;1703;17672
2013;Louisiana;4721;6850;9520;28083;2129;18563
2013;Maine;1516.8;2509.1;2562.8;7679;992.3;5116.2
2013;Maryland;3893.007891;7625.007891;9184;36287;3732;27103
2013;Massachusetts;4883.5159898;11115.63671419;8079.0140878;54635.38418219;6232.12072439;46556.37009439
2013;Michigan;8194.4;12515;17423.3;47396.5;4320.6;29973.2
2013;Minnesota;4293;8551;8344.857;31521.606;4258;23176.749
2013;Mississippi;3627;4834;8141;19195.3;1207;11054.3
2013;Missouri;4112.41943846;8037.85727811;7208.91943846;22942.25727811;3925.43783965;15733.33783965
2013;Montana;736;1081;2115;6040;345;3925
2013;Nebraska;1002.7;1821.4;3014;10162.8;818.7;7148.8
2013;Nevada;1043;1773;2796;8651;730;5855
2013;New Hampshire;605;1285;1604;5017;680;3413
2013;New Jersey;5546;10356;12041;50804;4810;38763
2013;New Mexico;2559.7;3677.1;5799;14695.5;1117.4;8896.5
2013;New York;23421;38792;38574;133097;15371;94523
2013;North Carolina;7719.7;12643;12637.5;42858.4;4923.3;30220.9
2013;North Dakota;421;782;1536;5712;361;4176
2013;Ohio;4101.884475;17010.376553;12647.136588;58268.194251;12908.492078;45621.057663
2013;Oklahoma;2931;4920;6653;21430;1989;14777
2013;Oregon;3476;5510;7451;25803;2034;18352
2013;Pennsylvania;12245;22229;24614;69101;9984;44487
2013;Puerto Rico;;0;0;0;;0
2013;Rhode Island;1007;1974;2522;8371;967;5849
2013;South Carolina;3519;4890;7800;22208;1371;14408
